name,price
Apple iPhone SE (3ª geração) 64 GB - Estelar,"3.142,47"
Apple iPhone 13 Pro (512 GB) - Dourado,"8.470,91"
Apple iPhone 12 mini (128 GB) - Branco,"6.199,00"
Apple iPhone 13 Pro Max (128 GB) - Prateado,"7.513,07"
Apple iPhone 11 (128 GB) Branco,"3.886,92"
Apple iPhone 13 Pro (256 GB) - Dourado,"7.209,00"
Apple iPhone 12 (128 GB) - Preto,"5.020,92"
Apple iPhone 13 Pro Max (128 GB) - Grafite,"7.359,00"
Apple iPhone 13 (128 GB) - Rosa,"6.116,47"
Apple iPhone SE (3ª geração) 64 GB - Cinza-Escuro,"3.142,47"
Apple iPhone XR 64 GB - BRANCO - VITRINE -ORIGINAL,"2.499,00"
Apple iPhone 13 mini (512 GB) - Meia-noite,"9.175,29"
Apple iPhone 8 Plus 64 Gb Dourado- Vitrine - ORIGINAL,
Apple iPhone 11 (128 GB) Preto,"4.119,00"
Apple iPhone 12 (128 GB) - Roxo,"5.280,00"
Apple iPhone 11 (64 GB) Preto,"3.699,00"
Smartphone Huawei P50 Pro 4G 512gb 8gb Ram Tela 6.6 pol.,"11.500,00"
"Apple iPhone 16GB 6s Grey Desbloqueado iOS 4.7"" Phone 12.0MP câmera 4G LTE móvel","1.175,00"
Apple iPhone 12 mini (128 GB) - Branco,"6.199,00"
Apple iPhone 13 (256 GB) - Azul,"7.739,00"
"Celular Smartphone UAUTECNO i14 max 256GB, Câmera Tripla 108MP + Selfie 48MP, Processador Dez-core, 8GB RAM, Tela 6.8"" (Azul)","1.049,00"
Smartphone Motorola Edge 30 5G 256GB 8GB RAM Azul,"2.339,10"
Xiaomi 11 Lite 5G NE Smartphone 8+128 Pink,"1.970,00"
Smartphone Xiaomi Poco M4 Pro 8GB 256GB Power Black - Preto,"1.623,00"
Xiaomi Redmi Note 11 Graphite Gray 6GB Ram 128GB Rom,"1.264,00"
Smartphone Xiaomi Redmi Note 11S 6GB RAM 128GB Graphite Gray (Cinza),"1.443,93"
Xiaomi 12 Lite 128gb 8gb RAM - Green - Verde - Mi 12 Lite no Brasil,"3.190,00"
Smartphone realme GT Master Edition Daybreak Blue,"3.429,90"
Google Pixel 6 Pro 512gb Preto,"7.729,00"
Smartphone Motorola Moto G22 128GB 4GB RAM Verde,
Huawei P50 Pro JAD-AL50 256GB 8GB RAM Factory Unlocked (GSM somente | Sem CDMA - não compatível com Verizon/Sprint) Não Google Play instalado versão China – Ouro,"8.949,00"
"Smartphone Samsung Galaxy M32, Preto, 128gb, 6gb Ram, Tela De 6.4 Dual Chip",
Redmi Note 10 S Onix Gray 6 GB RAM 128 GB ROM Global,"1.450,00"
"Smartphone OPPO Reno7 Câmera Frontal 32MP + Câmera Tripla Carregamento Rápido 33W 128GB WI-FI Tela 6,5"" Dual Chip 6+5GB RAM - Preto Cósmico, Modelo: CPH2363","2.999,00"
Smartphone Motorola Moto G82 5G 128GB 6GB RAM Branco,"1.799,00"
"Celular Xiaomi Mi 10T Lite 64GB / 6GB RAM/Dual Sim/Tela 6.67"" / Câmeras 64MP + 8MP + 2MP + 2MP e 16MP - Pearl Grey","1.950,00"
"Apple iPhone 8, US Version, 64GB, Gray espaço para a AT & T (Renovado)",
Xiaomi Redmi 9C 64gb 3gb Aurora Green - Verde,"844,89"
"Smartphone Samsung Galaxy S21+ 5G 128GB 6.7""8GB RAM 64+12+12MP Violeta","6.190,00"
Smartphone Xiaomi Poco M4 Pro 8GB 256GB Cool Blue - Azul,"1.557,00"
Xiaomi Redmi Note 11 Pro 6GB Ram 128GB Rom Câmera 108MP Gray - No Brasil,"1.599,00"
"Smartphone Ulefone Armor 8 Pro Android 11 robusto, 6,1 polegadas HD + IP68 à prova d'água à prova de choque celular externo desbloqueado, Helio P60 6 GB + 128 GB, câmera traseira tripla de 16 MP, NFC DUAL SIM, impressão digital (vermelho)","1.844,17"
Smartphone Motorola Edge 30 Pro 256GB 12GB RAM Azul,"5.900,00"
Xiaomi Redmi 10 Prime 6Gb 128Gb - Blue,"1.295,89"
Xiaomi Redmi 9C 64gb 3gb Lavander Purple,"827,89"
REDMI NOTE 11 GRAPHITE GRAY 4GB RAM 128GB ROM,"1.182,00"
Redmi Note 9S Aurora Blue 6GB RAM 128GB,"2.299,99"
Xiaomi Redmi Note 10 Pro Max 128gb / 6gb Ram -108MP - Azul Glacial - Global,"1.699,00"
"Google Pixel 6 5G (128GB, 8GB) 6,4"", Android 12, LTE totalmente desbloqueado (Global) Modelo dos EUA (Preto Stormy)",
Xiaomi Redmi 10C 128gb 4gb Graphite Gray,"997,00"
"Celular Smartphone M12 Pro 256GB, Câmera Tripla 50MP + Selfie 32MP, Processador Dez-core, 8GB RAM, Tela 6.7"" (Prata)","799,00"
"Smartphone Samsung Galaxy A73 128GB 5G - Verde, Câmera Quadrupla 108MP + Selfie 32MP, RAM 8GB, Tela 6.7""","2.607,90"
