name,price
Fonte Compativel Para Xbox One,"209,90"
Halo Infinite (Edição Exclusiva) - Xbox,"39,90"
Console Xbox Series S,"2.120,00"
Xbox Series S,"2.120,00"
Xbox Wireless Controller - Shock Blue,"529,00"
Console Xbox Series X,"4.226,55"
"PowerA Enhanced Wired Controller for Xbox - Black, Gamepad, Wired Video Game Controller, Gaming Controller, Xbox Series X|S, Xbox One - Xbox Series X","227,00"
Controle sem Fio Xbox - Pulse Red,"469,99"
Assassin's Creed Valhalla Ed Lim Br - 2020 - Xbox One,"245,55"
JOYPAD PARA XBOX ONE SEM FIO PRETO MICROSOFT - 4N6-00001,"439,90"
Fifa 22 - Xbox One,"99,90"
"PDP Gaming Remote Control: Xbox Series X|S, Xbox One, Xbox","182,00"
CHARGER HYPERX CHARGEPLAY DUO XBOX HX-CPDUX-C,"199,99"
Just Dance 2019 - Xbox One,"96,51"
Halo Infinite (Edição Exclusiva) - Xbox,"39,90"
"PowerA Spectra Infinity Enhanced Wired Controller for Xbox Series X|S, Gamepad, Wired Video Game Controller, Gaming Controller, Xbox One, Officially Licensed - Xbox Series X","338,00"
Headset CloudX Stinger Core para Xbox,"157,50"
"PowerA Enhanced Wired Controller for Xbox - Seafoam Fade, Gamepad, Wired Video Game Controller, Gaming Controller, Xbox Series X|S, Xbox One - Xbox Series X","215,00"
8Bitdo Pro 2 Controle USB Gamepad (Preto)-aplicar a Xbox Series X/Xbox Series S/Xbox One/Windows 10,"305,00"
"Logitech G Headset Gamer G335 com Almofadas com Espuma de Memória, Design Leve e Conexão 3,5mm para PC, PlayStation, Xbox, Nintendo Switch e Mobile - Branco","381,80"
Chave Torx T8 com Furo no Meio Para Abrir Controle Xbox360/Xbox One e Console PS3/PS4,"8,79"
"GameSir Controle Android com ventoinha de resfriamento tipo C X3 com luz de fundo RGB, controle móvel zero atraso com botões ABXY magnéticos e destacáveis, suporte D-pads para jogos nublados, estádio, Xbox Game Pass e mais","699,00"
"PowerA Wired Controller for Xbox Series X|S - White, gamepad, wired video game controller, gaming controller, works with Xbox One - Xbox Series X","253,00"
Bateria Para Controle Xbox 360 Com Cabo E Carregador Preto,"24,00"
Xbox Series S – Pacote Fortnite e Rocket League,"2.330,00"
Console Xbox One S Branco 1TB,
Microsoft 8li-00001 Headset Com Fio Xbox,"399,00"
"Controle para Xbox PowerA com fio, Xbox Series X|S, Xbox One - Xbox Series X, azul","319,90"
Kit 2 Baterias Carregadores Play/charge Controle Xbox 360 98.000mAh,"52,99"
Controle Sem Fio Xbox + Cabo USB,"494,90"
"Headset sem fio ASTRO Gaming A20 Gen 2 para Xbox Series X|S, Xbox One, PC e Mac - Branco/Verde","839,00"
Microsoft Xbox Wireless Controller + USB-C Cable - Xbox,"510,00"
Turtle Beach Recon Wired Game Controller with Enhanced Audio Features - Black - Xbox Series X,"531,63"
Controle Sem Fio - Preto - Xbox One,"479,90"
"PowerA Enhanced Wired Controller for Xbox - Pink, Gamepad, Wired Video Game Controller, Gaming Controller, Xbox Series X|S, Xbox One - Xbox Series X","292,28"
"GameSir Controle de jogo X2 Pro-Xbox para Android Tipo-C (100-179 mm), controle de telefone para xCloud, Stadia, Luna - 1 mês Xbox Game Pass Ultimate - Carregamento de passagem (preto)",
Bateria para Controle XBOX ONE 58000 MAH Cabo Recarregavel,"30,99"
Controle Usb Com Fio Para Xbox 360 Computador Notebook Preto,"85,40"
Xbox Core Controller - Robot White,"570,00"
Minecraft - Xbox One,"114,90"
Controle Sem Fio Xbox Especial - 20° Aniversário,"949,00"
